id,subscribe_pred,subscribe_prob
22801,0,0.07
22802,0,0.0
22803,1,0.24
22804,0,0.01
22805,1,0.26
22806,1,0.25
22807,0,0.08
22808,0,0.01
22809,1,0.23
22810,0,0.03
22811,0,0.19
22812,0,0.18
22813,0,0.0
22814,1,0.22
22815,0,0.06
22816,0,0.0
22817,0,0.06
22818,0,0.08
22819,0,0.02
22820,1,0.42
22821,1,0.25
22822,0,0.17
22823,1,0.58
22824,0,0.06
22825,0,0.16
22826,0,0.0
22827,0,0.11
22828,0,0.02
22829,0,0.02
22830,1,0.37
22831,0,0.13
22832,0,0.01
22833,0,0.0
22834,0,0.17
22835,0,0.06
22836,0,0.1
22837,0,0.11
22838,1,0.2
22839,1,0.29
22840,0,0.04
22841,0,0.01
22842,0,0.03
22843,1,0.24
22844,0,0.02
22845,0,0.16
22846,1,0.35
22847,0,0.02
22848,0,0.06
22849,1,0.38
22850,0,0.12
22851,1,0.36
22852,0,0.01
22853,0,0.13
22854,1,0.38
22855,0,0.06
22856,0,0.17
22857,0,0.11
22858,0,0.0
22859,0,0.12
22860,0,0.05
22861,0,0.05
22862,0,0.01
22863,0,0.12
22864,1,0.33
22865,0,0.17
22866,0,0.07
22867,0,0.0
22868,0,0.18
22869,0,0.14
22870,1,0.2
22871,1,0.34
22872,0,0.01
22873,1,0.22
22874,0,0.1
22875,0,0.0
22876,0,0.1
22877,1,0.43
22878,0,0.01
22879,1,0.37
22880,0,0.05
22881,0,0.09
22882,1,0.26
22883,0,0.08
22884,0,0.02
22885,0,0.12
22886,0,0.0
22887,1,0.2
22888,1,0.24
22889,0,0.04
22890,0,0.13
22891,0,0.02
22892,0,0.01
22893,1,0.25
22894,1,0.23
22895,1,0.32
22896,0,0.12
22897,0,0.09
22898,1,0.21
22899,0,0.0
22900,0,0.17
22901,0,0.03
22902,1,0.41
22903,1,0.6
22904,0,0.0
22905,0,0.01
22906,0,0.0
22907,0,0.03
22908,0,0.11
22909,0,0.01
22910,0,0.01
22911,0,0.0
22912,0,0.08
22913,0,0.07
22914,0,0.08
22915,1,0.3
22916,1,0.32
22917,1,0.26
22918,0,0.0
22919,0,0.1
22920,0,0.1
22921,1,0.47
22922,0,0.13
22923,0,0.12
22924,1,0.23
22925,0,0.1
22926,0,0.19
22927,1,0.22
22928,0,0.1
22929,0,0.01
22930,1,0.39
22931,0,0.02
22932,0,0.01
22933,1,0.31
22934,0,0.01
22935,0,0.03
22936,0,0.05
22937,1,0.22
22938,0,0.11
22939,0,0.12
22940,1,0.33
22941,0,0.03
22942,0,0.01
22943,1,0.47
22944,0,0.14
22945,0,0.03
22946,0,0.03
22947,0,0.16
22948,1,0.42
22949,0,0.0
22950,0,0.01
22951,0,0.0
22952,0,0.03
22953,0,0.1
22954,1,0.5
22955,1,0.22
22956,0,0.04
22957,0,0.04
22958,0,0.02
22959,0,0.0
22960,0,0.15
22961,0,0.12
22962,1,0.36
22963,1,0.34
22964,0,0.02
22965,0,0.0
22966,0,0.11
22967,0,0.0
22968,0,0.09
22969,0,0.12
22970,0,0.04
22971,0,0.06
22972,0,0.1
22973,0,0.0
22974,0,0.0
22975,1,0.26
22976,0,0.09
22977,0,0.0
22978,0,0.06
22979,0,0.16
22980,0,0.02
22981,0,0.01
22982,0,0.03
22983,0,0.03
22984,0,0.07
22985,0,0.01
22986,0,0.03
22987,0,0.06
22988,0,0.0
22989,0,0.03
22990,0,0.07
22991,0,0.0
22992,0,0.01
22993,1,0.25
22994,0,0.0
22995,0,0.0
22996,0,0.15
22997,0,0.0
22998,1,0.39
22999,0,0.08
23000,0,0.03
23001,0,0.07
23002,0,0.01
23003,0,0.03
23004,0,0.09
23005,1,0.25
23006,0,0.01
23007,1,0.21
23008,1,0.23
23009,0,0.03
23010,0,0.19
23011,0,0.1
23012,0,0.19
23013,1,0.3
23014,0,0.07
23015,0,0.04
23016,1,0.57
23017,0,0.1
23018,0,0.0
23019,0,0.17
23020,0,0.11
23021,0,0.12
23022,1,0.26
23023,1,0.37
23024,0,0.15
23025,0,0.0
23026,0,0.1
23027,0,0.01
23028,0,0.07
23029,0,0.1
23030,0,0.01
23031,1,0.29
23032,0,0.02
23033,0,0.08
23034,0,0.12
23035,0,0.09
23036,0,0.01
23037,0,0.02
23038,0,0.0
23039,0,0.09
23040,1,0.29
23041,0,0.03
23042,0,0.18
23043,0,0.02
23044,1,0.31
23045,0,0.05
23046,0,0.05
23047,0,0.17
23048,0,0.09
23049,1,0.31
23050,0,0.0
23051,0,0.0
23052,0,0.05
23053,1,0.24
23054,0,0.09
23055,0,0.18
23056,0,0.16
23057,0,0.0
23058,0,0.01
23059,0,0.0
23060,0,0.06
23061,0,0.14
23062,0,0.08
23063,0,0.13
23064,0,0.01
23065,1,0.47
23066,0,0.0
23067,1,0.45
23068,1,0.55
23069,1,0.31
23070,1,0.28
23071,0,0.17
23072,0,0.08
23073,0,0.08
23074,0,0.02
23075,1,0.38
23076,0,0.0
23077,0,0.13
23078,0,0.07
23079,0,0.02
23080,0,0.01
23081,0,0.14
23082,1,0.44
23083,1,0.45
23084,0,0.01
23085,0,0.13
23086,1,0.36
23087,0,0.15
23088,0,0.1
23089,0,0.01
23090,1,0.26
23091,0,0.1
23092,1,0.32
23093,0,0.09
23094,0,0.01
23095,1,0.27
23096,1,0.5
23097,0,0.12
23098,0,0.07
23099,0,0.0
23100,0,0.0
23101,0,0.14
23102,0,0.19
23103,0,0.12
23104,0,0.04
23105,0,0.07
23106,0,0.02
23107,0,0.01
23108,0,0.01
23109,1,0.29
23110,0,0.0
23111,0,0.08
23112,1,0.29
23113,1,0.4
23114,0,0.05
23115,0,0.08
23116,0,0.0
23117,0,0.1
23118,0,0.06
23119,0,0.04
23120,0,0.06
23121,1,0.45
23122,0,0.13
23123,0,0.12
23124,0,0.1
23125,1,0.37
23126,0,0.0
23127,0,0.0
23128,0,0.02
23129,0,0.06
23130,0,0.11
23131,0,0.15
23132,0,0.16
23133,1,0.24
23134,1,0.39
23135,0,0.02
23136,0,0.07
23137,0,0.02
23138,0,0.03
23139,0,0.03
23140,0,0.0
23141,0,0.01
23142,0,0.13
23143,1,0.41
23144,0,0.07
23145,0,0.05
23146,0,0.01
23147,0,0.01
23148,0,0.01
23149,1,0.38
23150,1,0.51
23151,1,0.24
23152,0,0.0
23153,1,0.37
23154,0,0.0
23155,1,0.2
23156,0,0.0
23157,0,0.0
23158,0,0.06
23159,0,0.03
23160,0,0.12
23161,0,0.15
23162,1,0.42
23163,0,0.0
23164,1,0.22
23165,1,0.35
23166,0,0.03
23167,0,0.09
23168,0,0.18
23169,0,0.09
23170,1,0.2
23171,0,0.02
23172,0,0.04
23173,0,0.08
23174,1,0.21
23175,0,0.19
23176,0,0.01
23177,0,0.1
23178,0,0.0
23179,0,0.15
23180,0,0.06
23181,0,0.03
23182,0,0.0
23183,1,0.45
23184,0,0.01
23185,0,0.1
23186,0,0.06
23187,0,0.02
23188,0,0.04
23189,1,0.39
23190,0,0.08
23191,0,0.1
23192,0,0.0
23193,0,0.0
23194,0,0.08
23195,0,0.01
23196,0,0.03
23197,1,0.3
23198,0,0.16
23199,0,0.07
23200,1,0.21
23201,0,0.07
23202,0,0.02
23203,0,0.02
23204,0,0.03
23205,0,0.08
23206,0,0.01
23207,0,0.05
23208,0,0.09
23209,0,0.07
23210,0,0.0
23211,0,0.15
23212,0,0.01
23213,1,0.48
23214,1,0.26
23215,0,0.15
23216,0,0.0
23217,1,0.2
23218,0,0.0
23219,0,0.05
23220,0,0.01
23221,0,0.18
23222,0,0.13
23223,0,0.08
23224,0,0.01
23225,0,0.12
23226,1,0.22
23227,0,0.0
23228,0,0.03
23229,0,0.03
23230,0,0.01
23231,0,0.05
23232,1,0.34
23233,1,0.4
23234,1,0.45
23235,0,0.03
23236,0,0.15
23237,0,0.05
23238,0,0.07
23239,0,0.0
23240,1,0.42
23241,1,0.41
23242,0,0.03
23243,0,0.17
23244,0,0.09
23245,0,0.0
23246,0,0.14
23247,0,0.05
23248,0,0.06
23249,0,0.08
23250,0,0.0
23251,0,0.02
23252,0,0.03
23253,0,0.06
23254,0,0.17
23255,0,0.07
23256,0,0.0
23257,0,0.09
23258,0,0.08
23259,0,0.0
23260,0,0.03
23261,1,0.47
23262,1,0.35
23263,0,0.03
23264,0,0.05
23265,0,0.0
23266,0,0.1
23267,0,0.13
23268,0,0.03
23269,1,0.25
23270,0,0.02
23271,1,0.37
23272,1,0.21
23273,0,0.12
23274,1,0.26
23275,0,0.11
23276,0,0.0
23277,0,0.1
23278,0,0.0
23279,0,0.14
23280,1,0.29
23281,0,0.0
23282,0,0.08
23283,0,0.15
23284,1,0.45
23285,0,0.02
23286,0,0.09
23287,1,0.49
23288,1,0.38
23289,0,0.08
23290,1,0.25
23291,0,0.03
23292,1,0.23
23293,0,0.14
23294,0,0.01
23295,1,0.23
23296,0,0.14
23297,0,0.0
23298,1,0.34
23299,0,0.18
23300,0,0.11
23301,0,0.0
23302,1,0.25
23303,0,0.03
23304,0,0.0
23305,1,0.42
23306,0,0.18
23307,0,0.03
23308,0,0.06
23309,1,0.21
23310,0,0.09
23311,0,0.01
23312,0,0.0
23313,0,0.0
23314,0,0.01
23315,1,0.4
23316,1,0.2
23317,1,0.33
23318,0,0.08
23319,0,0.09
23320,0,0.03
23321,0,0.08
23322,0,0.0
23323,0,0.11
23324,0,0.03
23325,0,0.0
23326,0,0.12
23327,0,0.0
23328,0,0.0
23329,0,0.15
23330,0,0.02
23331,1,0.24
23332,0,0.07
23333,0,0.17
23334,0,0.04
23335,0,0.14
23336,0,0.01
23337,1,0.3
23338,0,0.07
23339,1,0.45
23340,0,0.1
23341,0,0.03
23342,1,0.45
23343,0,0.01
23344,0,0.11
23345,0,0.03
23346,0,0.01
23347,0,0.0
23348,0,0.17
23349,0,0.12
23350,1,0.32
23351,0,0.03
23352,0,0.05
23353,0,0.05
23354,1,0.27
23355,0,0.0
23356,1,0.46
23357,1,0.52
23358,0,0.01
23359,0,0.01
23360,0,0.0
23361,0,0.16
23362,0,0.01
23363,0,0.02
23364,0,0.01
23365,0,0.03
23366,0,0.1
23367,0,0.05
23368,0,0.07
23369,0,0.16
23370,0,0.04
23371,1,0.5
23372,0,0.04
23373,0,0.19
23374,0,0.04
23375,1,0.27
23376,0,0.13
23377,0,0.02
23378,1,0.52
23379,0,0.14
23380,1,0.51
23381,0,0.14
23382,0,0.0
23383,0,0.0
23384,1,0.29
23385,1,0.25
23386,0,0.04
23387,0,0.15
23388,0,0.12
23389,0,0.17
23390,1,0.2
23391,0,0.05
23392,0,0.05
23393,1,0.4
23394,0,0.06
23395,1,0.27
23396,0,0.07
23397,0,0.09
23398,0,0.16
23399,0,0.06
23400,0,0.07
23401,0,0.03
23402,0,0.01
23403,0,0.12
23404,0,0.0
23405,0,0.03
23406,0,0.16
23407,0,0.18
23408,0,0.0
23409,0,0.14
23410,1,0.21
23411,0,0.1
23412,1,0.37
23413,0,0.03
23414,0,0.0
23415,1,0.71
23416,0,0.08
23417,0,0.08
23418,0,0.02
23419,1,0.22
23420,0,0.03
23421,0,0.1
23422,1,0.27
23423,1,0.46
23424,0,0.01
23425,0,0.02
23426,0,0.03
23427,0,0.11
23428,1,0.4
23429,1,0.33
23430,0,0.11
23431,0,0.03
23432,1,0.58
23433,0,0.11
23434,1,0.33
23435,0,0.01
23436,0,0.19
23437,0,0.01
23438,1,0.24
23439,0,0.01
23440,0,0.0
23441,1,0.2
23442,0,0.0
23443,1,0.38
23444,0,0.02
23445,0,0.05
23446,0,0.13
23447,0,0.07
23448,0,0.02
23449,1,0.28
23450,1,0.22
23451,0,0.0
23452,0,0.01
23453,0,0.01
23454,0,0.1
23455,0,0.11
23456,0,0.17
23457,0,0.11
23458,0,0.11
23459,0,0.12
23460,0,0.02
23461,0,0.12
23462,0,0.09
23463,0,0.09
23464,0,0.07
23465,1,0.22
23466,0,0.0
23467,0,0.05
23468,0,0.01
23469,0,0.04
23470,0,0.1
23471,1,0.51
23472,1,0.23
23473,1,0.29
23474,1,0.46
23475,0,0.16
23476,1,0.28
23477,0,0.0
23478,0,0.02
23479,0,0.06
23480,0,0.06
23481,0,0.08
23482,0,0.07
23483,0,0.15
23484,0,0.0
23485,0,0.08
23486,0,0.01
23487,1,0.25
23488,0,0.05
23489,0,0.07
23490,0,0.04
23491,1,0.2
23492,0,0.0
23493,0,0.04
23494,0,0.0
23495,1,0.29
23496,0,0.01
23497,0,0.0
23498,0,0.16
23499,0,0.12
23500,1,0.2
23501,0,0.12
23502,0,0.01
23503,0,0.06
23504,1,0.31
23505,0,0.05
23506,0,0.01
23507,0,0.04
23508,0,0.06
23509,1,0.37
23510,0,0.03
23511,0,0.06
23512,0,0.19
23513,1,0.48
23514,0,0.03
23515,0,0.0
23516,0,0.08
23517,0,0.0
23518,0,0.06
23519,0,0.07
23520,0,0.0
23521,0,0.09
23522,0,0.13
23523,0,0.0
23524,0,0.01
23525,0,0.14
23526,0,0.01
23527,0,0.07
23528,0,0.0
23529,1,0.4
23530,0,0.11
23531,0,0.04
23532,0,0.1
23533,0,0.01
23534,1,0.29
23535,0,0.13
23536,0,0.02
23537,0,0.03
23538,0,0.02
23539,0,0.0
23540,0,0.07
23541,0,0.02
23542,0,0.06
23543,0,0.01
23544,0,0.0
23545,0,0.14
23546,0,0.1
23547,1,0.29
23548,1,0.36
23549,1,0.46
23550,0,0.0
23551,0,0.05
23552,0,0.18
23553,0,0.0
23554,0,0.04
23555,1,0.54
23556,0,0.04
23557,0,0.03
23558,0,0.09
23559,0,0.17
23560,1,0.48
23561,1,0.22
23562,0,0.19
23563,0,0.03
23564,0,0.07
23565,0,0.01
23566,0,0.01
23567,0,0.05
23568,0,0.0
23569,0,0.14
23570,0,0.06
23571,1,0.52
23572,0,0.08
23573,0,0.19
23574,0,0.05
23575,1,0.37
23576,0,0.18
23577,1,0.25
23578,1,0.58
23579,0,0.06
23580,0,0.02
23581,1,0.34
23582,0,0.0
23583,0,0.13
23584,0,0.13
23585,0,0.12
23586,1,0.34
23587,1,0.55
23588,0,0.02
23589,0,0.04
23590,0,0.0
23591,0,0.08
23592,0,0.07
23593,0,0.07
23594,1,0.44
23595,0,0.19
23596,1,0.43
23597,0,0.0
23598,0,0.18
23599,0,0.03
23600,1,0.42
23601,0,0.05
23602,0,0.07
23603,0,0.19
23604,0,0.04
23605,1,0.24
23606,0,0.0
23607,0,0.0
23608,0,0.01
23609,1,0.51
23610,1,0.33
23611,0,0.09
23612,1,0.21
23613,1,0.27
23614,0,0.13
23615,0,0.03
23616,0,0.18
23617,0,0.02
23618,1,0.29
23619,0,0.07
23620,0,0.01
23621,0,0.09
23622,1,0.23
23623,0,0.02
23624,0,0.18
23625,0,0.08
23626,0,0.01
23627,0,0.02
23628,0,0.01
23629,0,0.02
23630,0,0.1
23631,0,0.01
23632,0,0.16
23633,1,0.31
23634,0,0.06
23635,0,0.15
23636,0,0.1
23637,0,0.0
23638,0,0.06
23639,0,0.04
23640,1,0.25
23641,1,0.33
23642,1,0.51
23643,0,0.11
23644,0,0.01
23645,1,0.53
23646,0,0.03
23647,0,0.1
23648,0,0.04
23649,0,0.0
23650,0,0.15
23651,0,0.13
23652,0,0.0
23653,0,0.1
23654,0,0.11
23655,0,0.15
23656,0,0.01
23657,0,0.07
23658,0,0.07
23659,0,0.01
23660,1,0.22
23661,0,0.17
23662,0,0.18
23663,0,0.0
23664,0,0.11
23665,0,0.1
23666,0,0.01
23667,1,0.42
23668,0,0.07
23669,0,0.0
23670,0,0.13
23671,0,0.08
23672,0,0.05
23673,0,0.08
23674,0,0.03
23675,0,0.14
23676,1,0.2
23677,0,0.06
23678,0,0.07
23679,1,0.29
23680,0,0.08
23681,0,0.07
23682,0,0.03
23683,0,0.07
23684,0,0.18
23685,0,0.05
23686,0,0.0
23687,0,0.06
23688,0,0.05
23689,0,0.17
23690,0,0.03
23691,0,0.0
23692,0,0.04
23693,0,0.18
23694,0,0.0
23695,0,0.06
23696,0,0.01
23697,0,0.0
23698,0,0.1
23699,1,0.21
23700,0,0.0
23701,1,0.43
23702,0,0.01
23703,0,0.03
23704,0,0.01
23705,0,0.1
23706,0,0.01
23707,0,0.17
23708,0,0.04
23709,0,0.19
23710,0,0.15
23711,0,0.03
23712,0,0.11
23713,0,0.01
23714,0,0.05
23715,0,0.01
23716,0,0.06
23717,0,0.12
23718,0,0.17
23719,0,0.04
23720,1,0.28
23721,0,0.0
23722,0,0.1
23723,1,0.42
23724,0,0.08
23725,0,0.05
23726,1,0.25
23727,0,0.05
23728,1,0.57
23729,0,0.02
23730,0,0.05
23731,1,0.31
23732,0,0.01
23733,0,0.0
23734,0,0.0
23735,0,0.0
23736,0,0.09
23737,0,0.0
23738,0,0.11
23739,0,0.03
23740,0,0.05
23741,0,0.11
23742,0,0.08
23743,0,0.0
23744,1,0.36
23745,0,0.12
23746,0,0.01
23747,0,0.1
23748,0,0.17
23749,0,0.14
23750,0,0.0
23751,0,0.11
23752,0,0.03
23753,1,0.28
23754,0,0.1
23755,1,0.22
23756,0,0.01
23757,0,0.0
23758,1,0.33
23759,0,0.04
23760,0,0.0
23761,0,0.02
23762,1,0.41
23763,0,0.01
23764,1,0.32
23765,0,0.03
23766,0,0.0
23767,0,0.03
23768,1,0.24
23769,0,0.1
23770,1,0.24
23771,1,0.27
23772,0,0.05
23773,0,0.0
23774,1,0.2
23775,0,0.07
23776,1,0.32
23777,0,0.04
23778,0,0.02
23779,0,0.19
23780,0,0.01
23781,0,0.16
23782,1,0.44
23783,1,0.32
23784,0,0.0
23785,0,0.08
23786,1,0.4
23787,0,0.05
23788,0,0.08
23789,0,0.17
23790,0,0.02
23791,0,0.12
23792,0,0.07
23793,1,0.39
23794,0,0.06
23795,0,0.02
23796,0,0.01
23797,0,0.16
23798,0,0.09
23799,0,0.0
23800,1,0.48
23801,0,0.05
23802,0,0.06
23803,0,0.01
23804,1,0.63
23805,1,0.44
23806,0,0.09
23807,1,0.48
23808,0,0.07
23809,0,0.0
23810,1,0.37
23811,1,0.49
23812,1,0.21
23813,0,0.01
23814,0,0.11
23815,0,0.01
23816,0,0.01
23817,1,0.49
23818,0,0.01
23819,0,0.02
23820,0,0.11
23821,0,0.09
23822,0,0.04
23823,0,0.13
23824,1,0.28
23825,0,0.14
23826,0,0.08
23827,1,0.26
23828,1,0.27
23829,1,0.41
23830,0,0.0
23831,1,0.28
23832,0,0.0
23833,1,0.29
23834,0,0.07
23835,1,0.22
23836,0,0.13
23837,0,0.12
23838,1,0.4
23839,0,0.1
23840,1,0.3
23841,0,0.06
23842,1,0.34
23843,1,0.31
23844,0,0.0
23845,1,0.32
23846,0,0.05
23847,0,0.01
23848,0,0.15
23849,0,0.0
23850,0,0.05
23851,0,0.0
23852,0,0.08
23853,0,0.05
23854,0,0.09
23855,1,0.21
23856,0,0.01
23857,0,0.03
23858,0,0.05
23859,0,0.12
23860,0,0.11
23861,0,0.03
23862,0,0.13
23863,1,0.49
23864,0,0.13
23865,0,0.04
23866,0,0.04
23867,0,0.01
23868,0,0.08
23869,0,0.17
23870,0,0.09
23871,0,0.04
23872,0,0.02
23873,1,0.31
23874,0,0.04
23875,0,0.11
23876,0,0.12
23877,0,0.09
23878,0,0.06
23879,0,0.01
23880,0,0.04
23881,0,0.05
23882,0,0.05
23883,0,0.0
23884,0,0.01
23885,0,0.0
23886,0,0.07
23887,0,0.14
23888,0,0.05
23889,0,0.09
23890,0,0.01
23891,0,0.04
23892,0,0.03
23893,0,0.17
23894,0,0.11
23895,0,0.0
23896,0,0.01
23897,0,0.06
23898,1,0.52
23899,0,0.0
23900,0,0.03
23901,0,0.01
23902,0,0.06
23903,0,0.04
23904,0,0.18
23905,0,0.07
23906,0,0.01
23907,0,0.0
23908,1,0.23
23909,1,0.27
23910,0,0.05
23911,0,0.06
23912,0,0.05
23913,0,0.16
23914,1,0.27
23915,0,0.08
23916,0,0.08
23917,1,0.28
23918,0,0.07
23919,0,0.1
23920,0,0.01
23921,0,0.15
23922,0,0.14
23923,0,0.06
23924,0,0.0
23925,0,0.0
23926,0,0.03
23927,1,0.31
23928,0,0.04
23929,0,0.02
23930,0,0.04
23931,0,0.04
23932,0,0.1
23933,1,0.24
23934,0,0.12
23935,0,0.12
23936,0,0.02
23937,0,0.07
23938,0,0.16
23939,0,0.05
23940,0,0.04
23941,1,0.37
23942,0,0.09
23943,0,0.08
23944,0,0.14
23945,1,0.42
23946,0,0.12
23947,1,0.23
23948,0,0.01
23949,0,0.14
23950,0,0.0
23951,0,0.0
23952,0,0.0
23953,0,0.07
23954,0,0.01
23955,0,0.04
23956,0,0.17
23957,0,0.03
23958,1,0.5
23959,0,0.1
23960,0,0.0
23961,1,0.31
23962,0,0.08
23963,0,0.12
23964,0,0.17
23965,0,0.01
23966,0,0.02
23967,0,0.03
23968,0,0.14
23969,0,0.14
23970,0,0.11
23971,0,0.02
23972,0,0.0
23973,0,0.06
23974,0,0.01
23975,0,0.12
23976,0,0.02
23977,0,0.02
23978,0,0.0
23979,1,0.27
23980,0,0.0
23981,0,0.02
23982,0,0.14
23983,0,0.01
23984,0,0.17
23985,0,0.05
23986,0,0.0
23987,0,0.09
23988,1,0.31
23989,0,0.08
23990,0,0.0
23991,0,0.01
23992,0,0.08
23993,1,0.31
23994,0,0.03
23995,0,0.04
23996,1,0.29
23997,1,0.26
23998,0,0.19
23999,0,0.03
24000,0,0.12
24001,0,0.0
24002,1,0.23
24003,0,0.07
24004,0,0.0
24005,1,0.21
24006,0,0.1
24007,0,0.16
24008,0,0.0
24009,0,0.0
24010,0,0.13
24011,0,0.05
24012,0,0.05
24013,1,0.37
24014,0,0.1
24015,0,0.02
24016,0,0.09
24017,0,0.13
24018,0,0.03
24019,1,0.24
24020,0,0.19
24021,0,0.02
24022,0,0.1
24023,0,0.17
24024,0,0.08
24025,0,0.06
24026,0,0.0
24027,0,0.18
24028,0,0.19
24029,0,0.04
24030,0,0.16
24031,0,0.01
24032,0,0.14
24033,0,0.02
24034,0,0.07
24035,1,0.38
24036,0,0.01
24037,0,0.11
24038,0,0.0
24039,0,0.11
24040,1,0.26
24041,1,0.44
24042,0,0.1
24043,0,0.11
24044,0,0.16
24045,0,0.13
24046,0,0.01
24047,1,0.22
24048,1,0.21
24049,0,0.11
24050,0,0.06
24051,0,0.04
